V1,PAS_ID,pred_narrow,pred,usage,sig,change
229,chr3:52423640:+,0.8454472,0.8554606,Increased,yes,longer
232,chr6:111660334:-,0.36025947,0.36476034,Increased,yes,longer
236,chr1:23762058:+,0.50351554,0.549472,Increased,yes,longer
253,chr7:5620048:-,0.16101581,0.18833932,Increased,yes,longer
259,chr11:61513717:-,0.08331879,0.092316695,Increased,yes,longer
264,chr19:46392900:+,0.06017117,0.09370177,Increased,yes,longer
268,chr2:65087003:+,0.8625843,0.87369543,Increased,yes,longer
275,chr8:28756561:+,0.81089056,0.8310373,Increased,yes,longer
276,chrY:19703866:-,0.4225846,0.48734322,Increased,yes,longer
279,chr14:93229214:+,0.7580407,0.7728658,Increased,yes,longer
287,chr3:170459584:-,0.27584872,0.42525798,Increased,yes,longer
294,chr6:83166132:-,0.5242716,0.5586984,Increased,yes,longer
301,chr6:83198930:+,0.301315,0.322262,Increased,yes,longer
310,chr12:42159034:-,0.2632222,0.3505226,Increased,yes,longer
328,chr4:70808618:+,0.6053121,0.6467075,Increased,yes,longer
333,chr12:41072223:+,0.2400377,0.30067095,Increased,yes,longer
335,chr2:177542053:+,0.47636402,0.57384324,Increased,yes,longer
339,chr19:56375848:-,0.6829926,0.70306545,Increased,yes,longer
351,chr11:3087120:-,0.07879539,0.08200072,Increased,yes,longer
356,chr8:141207174:-,0.5493647,0.5563543,Increased,yes,longer
363,chr10:112430301:-,0.42540857,0.44232827,Increased,yes,longer
367,chr2:206114817:-,0.14609863,0.24928395,Increased,yes,longer
370,chr8:52622458:-,0.28986087,0.53622437,Increased,yes,longer
380,chr6:42693504:+,0.4701535,0.5008085,Increased,yes,longer
387,chr20:35950369:+,0.3056776,0.32716343,Increased,yes,longer
390,chr20:44942130:-,0.5599556,0.5645485,Increased,yes,longer
392,chr6:107867757:-,0.64866865,0.65341777,Increased,yes,longer
396,chr1:32176563:+,0.75925434,0.7753315,Increased,yes,longer
398,chr6:161130030:-,0.17584616,0.24795163,Increased,yes,longer
409,chr15:64144232:+,0.635065,0.72065496,Increased,yes,longer
413,chr6:133990428:+,0.4229781,0.46988672,Increased,yes,longer
414,chr6:136256868:-,0.370081,0.41775787,Increased,yes,longer
419,chr17:5385809:+,0.42057997,0.43557063,Increased,yes,longer
421,chrX:150990773:+,0.20834619,0.24883272,Increased,yes,longer
435,chr14:58373732:+,0.5219235,0.5503821,Increased,yes,longer
441,chr7:151211484:-,0.15291251,0.17332661,Increased,yes,longer
445,chr7:151240971:+,0.41174585,0.42934722,Increased,yes,longer
454,chr15:68191462:+,0.26104224,0.27961335,Increased,yes,longer
456,chr15:29118311:+,0.30117524,0.31610355,Increased,yes,longer
457,chr2:70295976:-,0.81374747,0.83099115,Increased,yes,longer
460,chr10:74120154:+,0.5556416,0.57033265,Increased,yes,longer
461,chr1:244408494:-,0.74115574,0.76152664,Increased,yes,longer
474,chr5:6599239:-,0.79673094,0.80479074,Increased,yes,longer
476,chr1:16246841:-,0.79077333,0.80570537,Increased,yes,longer
483,chr4:177430777:-,0.36897346,0.3751784,Increased,yes,longer
495,chr5:14510202:+,0.6759204,0.6947957,Increased,yes,longer
500,chr16:11182181:+,0.25392118,0.2612419,Increased,yes,longer
522,chr2:98594062:+,0.35640988,0.3909966,Increased,yes,longer
526,chr1:6635585:+,0.261162,0.3576064,Increased,yes,longer
528,chr14:90044761:+,0.3219638,0.41366252,Increased,yes,longer
541,chr5:138935033:+,0.6121193,0.6181428,Increased,yes,longer
551,chrX:13769351:+,0.42570326,0.44459894,Increased,yes,longer
553,chrX:13771030:-,0.64851755,0.81390184,Increased,yes,longer
559,chr8:53715555:-,0.4686442,0.47721773,Increased,yes,longer
562,chr1:186312362:-,0.3954229,0.4455536,Increased,yes,longer
566,chr3:47850695:-,0.4993461,0.5545592,Increased,yes,longer
569,chr6:117560271:-,0.4808045,0.87228835,Increased,yes,longer
574,chr4:15601546:+,0.5022989,0.5515,Increased,yes,longer
586,chr6:42206807:-,0.1207323,0.15579875,Increased,yes,longer
588,chr11:77660010:-,0.67149776,0.68753225,Increased,yes,longer
594,chr1:12512043:+,0.50566584,0.545222,Increased,yes,longer
596,chr10:11336515:+,0.61330676,0.66906905,Increased,yes,longer
600,chr5:60866458:-,0.69379264,0.7335187,Increased,yes,longer
611,chr5:1317755:-,0.3873399,0.402993,Increased,yes,longer
616,chr18:58401538:+,0.49040037,0.51695895,Increased,yes,longer
618,chrX:49301460:+,0.6434583,0.65931535,Increased,yes,longer
622,chr14:59505346:+,0.43965992,0.623834,Increased,yes,longer
624,chr11:11957321:-,0.51194805,0.565059,Increased,yes,longer
626,chr6:13786738:-,0.5684874,0.58160067,Increased,yes,longer
630,chr12:51515763:+,0.6631744,0.66858023,Increased,yes,longer
639,chr4:165343160:+,0.7576552,0.7709302,Increased,yes,longer
641,chr11:43494927:+,0.7596509,0.8062354,Increased,yes,longer
651,chr14:57298741:+,0.40458587,0.53509545,Increased,yes,longer
652,chr1:36136573:-,0.8704972,0.8715297,Increased,yes,longer
655,chr1:241593207:-,0.25606558,0.57853794,Increased,yes,longer
673,chr7:148801109:+,0.49489385,0.70158637,Increased,yes,longer
674,chr5:153990149:-,0.20567736,0.24766982,Increased,yes,longer
681,chr17:78795653:-,0.6760632,0.7038961,Increased,yes,longer
690,chr10:100981376:-,0.14685196,0.1578101,Increased,yes,longer
694,chr9:122844559:-,0.7076672,0.73190063,Increased,yes,longer
698,chr3:98795988:-,0.2726581,0.31516674,Increased,yes,longer
713,chr16:22335095:+,0.27099237,0.3124642,Increased,yes,longer
715,chr1:203744079:+,0.24558638,0.48493582,Increased,yes,longer
716,chr5:97160867:-,0.57397515,0.58783394,Increased,yes,longer
722,chr12:7919230:-,0.720902,0.727489,Increased,yes,longer
724,chr10:102402618:-,0.19519508,0.20200714,Increased,yes,longer
737,chr12:24810023:-,0.08599305,0.28086543,Increased,yes,longer
739,chr2:182909114:-,0.693038,0.73470855,Increased,yes,longer
744,chr12:131799735:+,0.51386356,0.54892737,Increased,yes,longer
750,chr5:57263583:+,0.26986134,0.400434,Increased,yes,longer
752,chr11:75801534:+,0.20325848,0.22849604,Increased,yes,longer
755,chr10:86435256:-,0.64075404,0.65589154,Increased,yes,longer
767,chr12:53042208:+,0.67645943,0.69038314,Increased,yes,longer
772,chr19:39400561:+,0.57644415,0.69924206,Increased,yes,longer
776,chr4:41700042:+,0.6384988,0.764701,Increased,yes,longer
813,chr13:98024280:+,0.072628304,0.19822372,Increased,yes,longer
818,chr1:117966542:+,0.39984855,0.504848,Increased,yes,longer
823,chr19:998438:+,0.27240026,0.27956006,Increased,yes,longer
824,chr6:52497408:-,0.871021,0.88242304,Increased,yes,longer
826,chr2:196986663:-,0.7886951,0.8239446,Increased,yes,longer
828,chr16:75596864:-,0.36088258,0.37804237,Increased,yes,longer
835,chr1:212364475:-,0.62685645,0.6418527,Increased,yes,longer
839,chr10:104029231:+,0.77611387,0.77844405,Increased,yes,longer
850,chr10:12165404:+,0.3463069,0.6566373,Increased,yes,longer
855,chr4:38139170:+,0.43819025,0.72728354,Increased,yes,longer
861,chr2:74217553:+,0.031721644,0.06487845,Increased,yes,longer
862,chrX:46599251:-,0.52866465,0.54597104,Increased,yes,longer
868,chr19:7959190:-,0.08934992,0.87765956,Increased,yes,longer
878,chr14:92058552:-,0.80653006,0.82128924,Increased,yes,longer
899,chr18:57544377:-,0.22080094,0.2539974,Increased,yes,longer
908,chr1:92508697:-,0.6256085,0.6328344,Increased,yes,longer
912,chr1:93869465:-,0.14372505,0.20407604,Increased,yes,longer
915,chr15:43403064:-,0.54924107,0.58269286,Increased,yes,longer
920,chr1:218337979:+,0.7787846,0.81692827,Increased,yes,longer
924,chr17:43526786:+,0.13885981,0.17348328,Increased,yes,longer
933,chrX:153582929:+,0.15656702,0.2793478,Increased,yes,longer
940,chr16:67101053:+,0.81967825,0.8565164,Increased,yes,longer
942,chrX:24550465:+,0.5759004,0.6040481,Increased,yes,longer
943,chr2:239048173:-,0.22196661,0.24234955,Increased,yes,longer
958,chrX:48486348:+,0.029029889,0.3789997,Increased,yes,longer
977,chr2:45388681:-,0.25166774,0.27404764,Increased,yes,longer
982,chr5:62391023:+,0.6813884,0.6985555,Increased,yes,longer
986,chr2:53864070:-,0.57594365,0.57888937,Increased,yes,longer
988,chr3:160256987:-,0.34182683,0.7732441,Increased,yes,longer
994,chr1:205714124:-,0.4887246,0.52221346,Increased,yes,longer
997,chr16:46657994:-,0.4806251,0.50646585,Increased,yes,longer
1000,chr16:46955362:-,0.90036726,0.9148824,Increased,yes,longer
1002,chrX:44523639:-,0.3790374,0.45295802,Increased,yes,longer
1004,chr15:60488285:-,0.8620198,0.8952258,Increased,yes,longer
1013,chr15:52115105:-,0.35198388,0.37210083,Increased,yes,longer
1015,chr15:55202968:-,0.66039985,0.69257253,Increased,yes,longer
1022,chr9:108867520:-,0.056902573,0.13579307,Increased,yes,longer
1027,chr11:17349962:+,0.22725606,0.31659707,Increased,yes,longer
1030,chr14:64746283:-,0.46081915,0.46422896,Increased,yes,longer
1040,chr19:647527:-,0.3517149,0.36971718,Increased,yes,longer
1048,chr17:76712836:-,0.8371178,0.8440753,Increased,yes,longer
1050,chr17:68421281:-,0.5495945,0.57041967,Increased,yes,longer
1060,chr14:88465778:-,0.57533854,0.59050304,Increased,yes,longer
1071,chr2:101894689:+,0.76329035,0.7666127,Increased,yes,longer
1078,chr7:17790761:-,0.87297696,0.89110625,Increased,yes,longer
1085,chr14:76783013:+,0.11416918,0.1431934,Increased,yes,longer
1088,chr19:1435681:+,0.497118,0.5097693,Increased,yes,longer
1089,chr19:1573595:-,0.3523925,0.38663578,Increased,yes,longer
1102,chr14:68874128:-,0.21621437,0.26706064,Increased,yes,longer
1107,chr2:219493628:+,0.18417647,0.19144048,Increased,yes,longer
1128,chr3:3153434:+,0.760394,0.78186166,Increased,yes,longer
1129,chr5:172042079:-,0.6028671,0.6127649,Increased,yes,longer
1134,chr17:5471259:-,0.61101156,0.658024,Increased,yes,longer
1140,chr22:50180294:+,0.13006349,0.1362693,Increased,yes,longer
1145,chrX:10237649:+,0.16347735,0.2230539,Increased,yes,longer
1146,chr17:35128752:-,0.3725754,0.41391137,Increased,yes,longer
1150,chr12:280889:-,0.48333615,0.5240364,Increased,yes,longer
1153,chr14:52857274:-,0.7181952,0.7750274,Increased,yes,longer
1158,chr3:185484950:+,0.002995119,0.027851395,Increased,yes,longer
1164,chr13:32299124:+,0.52924794,0.610416,Increased,yes,longer
1169,chr4:6320585:-,0.77123046,0.80475265,Increased,yes,longer
1172,chr11:86278808:+,0.24645367,0.8678849,Increased,yes,longer
1173,chr17:3802158:-,0.4914153,0.5114007,Increased,yes,longer
1179,chr18:58986483:+,0.7288724,0.7917814,Increased,yes,longer
1184,chr6:112070778:-,0.40356636,0.5876652,Increased,yes,longer
1188,chr7:88205115:-,0.7043975,0.72102344,Increased,yes,longer
1190,chr1:20806886:-,0.39178172,0.42429775,Increased,yes,longer
1197,chr11:108147591:+,0.30681038,0.38328177,Increased,yes,longer
1208,chr2:70656789:-,0.10093914,0.12629937,Increased,yes,longer
1213,chr1:178481205:+,0.6404222,0.7135309,Increased,yes,longer
1217,chr14:103503827:+,0.44578764,0.46069455,Increased,yes,longer
1219,chr12:98606364:+,0.5019689,0.7035364,Increased,yes,longer
1221,chr3:172400700:+,0.45468774,0.48906654,Increased,yes,longer
1226,chr12:108522214:-,0.2711095,0.316918,Increased,yes,longer
1232,chr3:12583370:+,0.4860954,0.50040615,Increased,yes,longer
1234,chr11:114450276:+,0.82111335,0.8333513,Increased,yes,longer
1238,chr11:114410410:+,0.46640977,0.4826551,Increased,yes,longer
1239,chr17:28394647:-,0.62150216,0.6355041,Increased,yes,longer
1252,chr10:96518110:-,0.7236873,0.7601402,Increased,yes,longer
1259,chr2:182794461:+,0.6393824,0.6758065,Increased,yes,longer
1260,chr16:27460613:-,0.23818329,0.71112406,Increased,yes,longer
1266,chr2:171748409:+,0.5700988,0.59333503,Increased,yes,longer
1271,chr11:95768953:-,0.6137257,0.6568751,Increased,yes,longer
1273,chr1:19338775:-,0.014800357,0.9680936,Increased,yes,longer
1282,chrX:119584422:+,0.8149728,0.865772,Increased,yes,longer
1293,chr18:46810444:-,0.47849417,0.5378583,Increased,yes,longer
1298,chr10:20780629:-,0.47677904,0.5050571,Increased,yes,longer
1309,chr18:42087832:+,0.5119767,0.5721259,Increased,yes,longer
1316,chr14:101927685:+,0.24530196,0.6289141,Increased,yes,longer
1321,chr10:21743628:+,0.6218909,0.6465613,Increased,yes,longer
1326,chr8:18029946:+,0.63893354,0.6484834,Increased,yes,longer
1330,chr20:33650030:+,0.20348026,0.24324635,Increased,yes,longer
1333,chr11:1274371:-,0.53159964,0.6189484,Increased,yes,longer
1338,chr2:178463665:-,0.49225786,0.52091235,Increased,yes,longer
1343,chr2:178399183:+,0.4876819,0.6406462,Increased,yes,longer
1346,chr1:46557418:-,0.6126023,0.63439316,Increased,yes,longer
1349,chr10:70150206:-,0.88837945,0.8939988,Increased,yes,longer
1356,chr8:11839297:+,0.12562405,0.13145475,Increased,yes,longer
1358,chr19:10833486:+,0.12240022,0.13935634,Increased,yes,longer
1373,chr9:3218301:-,0.69977474,0.71428037,Increased,yes,longer
1380,chr2:151482169:+,0.8449009,0.8564565,Increased,yes,longer
1385,chr12:71800285:+,0.86347485,0.8675132,Increased,yes,longer
1387,chr9:2193621:+,0.38650197,0.64521146,Increased,yes,longer
1401,chr14:73223690:+,0.62093294,0.65223026,Increased,yes,longer
1408,chr20:36528632:+,0.14013214,0.15274666,Increased,yes,longer
1409,chr11:133896443:-,0.81787235,0.82606226,Increased,yes,longer
1411,chr6:108041411:-,0.24211097,0.3952613,Increased,yes,longer
1429,chr3:132679636:+,0.20704551,0.27596518,Increased,yes,longer
1431,chr9:96500114:-,0.7258858,0.73797035,Increased,yes,longer
1433,chr9:96754555:-,0.4909965,0.5298488,Increased,yes,longer
1439,chr5:141940151:+,0.33549377,0.34463838,Increased,yes,longer
1449,chr18:50954253:+,0.34760717,0.5417054,Increased,yes,longer
1453,chr2:134957394:+,0.5664502,0.6134645,Increased,yes,longer
1466,chr5:154969410:+,0.38805154,0.40575668,Increased,yes,longer
1470,chr17:48061479:+,0.31870943,0.35462093,Increased,yes,longer
1471,chr3:122909195:-,0.24804692,0.2641626,Increased,yes,longer
1473,chr3:119821321:-,0.93493825,0.9370186,Increased,yes,longer
1480,chr3:149962126:+,0.4726296,0.5110238,Increased,yes,longer
1483,chr9:86287734:-,0.32961267,0.6202802,Increased,yes,longer
1493,chr13:72755403:-,0.5796425,0.7056644,Increased,yes,longer
1496,chr13:44939248:-,0.5299623,0.5382779,Increased,yes,longer
1499,chr13:32777808:+,0.22906585,0.2832973,Increased,yes,longer
1502,chr5:41730065:-,0.78922504,0.8026004,Increased,yes,longer
1513,chr4:68310387:-,0.1489891,0.31863755,Increased,yes,longer
1516,chr3:87255498:+,0.6109801,0.71382904,Increased,yes,longer
1520,chr1:39756767:+,0.760044,0.8022148,Increased,yes,longer
1536,chr2:24770525:+,0.25315535,0.4505931,Increased,yes,longer
1539,chr2:27070620:+,0.51925474,0.5227208,Increased,yes,longer
1540,chr2:25926602:-,0.2652794,0.2987786,Increased,yes,longer
1543,chr2:26137410:+,0.16197018,0.49166048,Increased,yes,longer
1544,chr2:26190642:-,0.10641764,0.12674536,Increased,yes,longer
1558,chr3:169789086:+,0.12814486,0.18878429,Increased,yes,longer
1562,chr5:78480738:+,0.55476993,0.6345594,Increased,yes,longer
1571,chr18:12987534:+,0.6382926,0.652646,Increased,yes,longer
1579,chr11:70436574:+,0.7172335,0.73281133,Increased,yes,longer
1583,chr8:38262766:+,0.30628628,0.36462837,Increased,yes,longer
1588,chr1:51354414:-,0.6478035,0.6613823,Increased,yes,longer
1603,chr5:62628581:+,0.33944863,0.39192173,Increased,yes,longer
1604,chr10:13317430:-,0.32511505,0.34336704,Increased,yes,longer
1611,chrX:53532103:-,0.6014118,0.6999444,Increased,yes,longer
1614,chr11:111782195:-,0.25362355,0.3005252,Increased,yes,longer
1623,chr7:100889994:-,0.01665679,0.020792343,Increased,yes,longer
1635,chr16:56479122:+,0.25953063,0.28581414,Increased,yes,longer
1639,chr4:2841095:+,0.5458277,0.6081249,Increased,yes,longer
1646,chr14:52009536:+,0.0663612,0.18587518,Increased,yes,longer
1648,chr2:69881366:+,0.25473645,0.4414155,Increased,yes,longer
1651,chr12:27803039:+,0.580439,0.6091164,Increased,yes,longer
1653,chr20:58911190:+,0.5112668,0.78772604,Increased,yes,longer
1655,chr12:32745546:+,0.4416454,0.50316787,Increased,yes,longer
1659,chr12:29337354:-,0.39357087,0.51919615,Increased,yes,longer
1665,chr20:56369389:-,0.89932233,0.9016006,Increased,yes,longer
1670,chr17:62452106:+,0.4387594,0.7999685,Increased,yes,longer
1677,chr2:119983810:+,0.40349758,0.43281773,Increased,yes,longer
1683,chr2:117832377:+,0.4439389,0.44897828,Increased,yes,longer
1687,chr20:36232798:+,0.5248512,0.53992075,Increased,yes,longer
1688,chr13:110878540:-,0.6522678,0.6817706,Increased,yes,longer
1691,chr3:51384196:+,0.099980846,0.12306695,Increased,yes,longer
1697,chr20:3875451:+,0.41075513,0.7593378,Increased,yes,longer
1706,chr12:111902220:+,0.30309337,0.4091787,Increased,yes,longer
1709,chr12:121308246:-,0.30676368,0.3232939,Increased,yes,longer
1711,chr20:18383368:-,0.86184424,0.86718065,Increased,yes,longer
1714,chr12:121429098:-,0.05243084,0.093178965,Increased,yes,longer
1724,chr12:111642146:-,0.3969427,0.4140526,Increased,yes,longer
1732,chr12:6747996:-,0.570428,0.5767263,Increased,yes,longer
1736,chr14:64478052:-,0.61915505,0.63537097,Increased,yes,longer
1739,chr10:125836339:-,0.7190692,0.7227502,Increased,yes,longer
1745,chr9:92031147:-,0.4404392,0.5431085,Increased,yes,longer
1750,chr14:96567115:+,0.8738349,0.93422043,Increased,yes,longer
1752,chr14:99511514:+,0.42446908,0.43336892,Increased,yes,longer
1753,chr7:141002609:-,0.82333004,0.89375836,Increased,yes,longer
1762,chr12:133214831:+,0.27281618,0.30408016,Increased,yes,longer
1767,chr1:21678902:-,0.5394007,0.55292773,Increased,yes,longer
1771,chrX:68842161:+,0.3556649,0.82347727,Increased,yes,longer
1774,chr16:74447429:-,0.43155965,0.44079143,Increased,yes,longer
1777,chr16:24826222:+,0.7022817,0.77619624,Increased,yes,longer
1779,chr19:39428231:+,0.42923862,0.46264803,Increased,yes,longer
1792,chr7:107921182:+,0.37838605,0.43662623,Increased,yes,longer
1795,chr18:56597209:-,0.3660384,0.40884244,Increased,yes,longer
1798,chr4:25747438:-,0.6265841,0.75655,Increased,yes,longer
1824,chr14:21351478:-,0.14503723,0.16184208,Increased,yes,longer
1827,chr14:21498908:+,0.1670107,0.18589684,Increased,yes,longer
1834,chr5:116443555:-,0.1375712,0.93284786,Increased,yes,longer
1836,chr15:50558051:-,0.72744393,0.78354335,Increased,yes,longer
1841,chr1:35930529:+,0.32817718,0.39587432,Increased,yes,longer
1852,chr6:127288713:-,0.8295576,0.8511474,Increased,yes,longer
1855,chr3:37053007:-,0.43530557,0.47422588,Increased,yes,longer
1858,chr3:42547970:-,0.3408732,0.3793226,Increased,yes,longer
1862,chrX:48824970:+,0.21256481,0.2380021,Increased,yes,longer
1866,chrX:75304885:+,0.40629974,0.42015108,Increased,yes,longer
1867,chr5:138187651:-,0.50727487,0.7071742,Increased,yes,longer
1875,chr9:129094796:-,0.05700008,0.06363083,Increased,yes,longer
1883,chr10:95311773:-,0.8098977,0.83502877,Increased,yes,longer
1892,chr19:55364383:-,0.47210485,0.50623643,Increased,yes,longer
1902,chr6:35573590:-,0.398548,0.683258,Increased,yes,longer
1904,chr6:35833034:-,0.63340026,0.86589515,Increased,yes,longer
1914,chr10:67918384:+,0.1478346,0.17321357,Increased,yes,longer
1925,chr1:86748183:+,0.83625215,0.8598599,Increased,yes,longer
1927,chr10:100364824:+,0.7845195,0.8106634,Increased,yes,longer
1928,chr10:114431112:-,0.39071855,0.5841729,Increased,yes,longer
1936,chr10:27542237:+,0.6862275,0.7582837,Increased,yes,longer
1937,chr10:33177498:-,0.39393455,0.42479676,Increased,yes,longer
1945,chr10:50133508:+,0.7789038,0.7827528,Increased,yes,longer
1947,chr19:38370942:+,0.27064052,0.4224822,Increased,yes,longer
1955,chr19:1274807:+,0.04313186,0.048381727,Increased,yes,longer
1960,chr19:542086:+,0.10651455,0.109789126,Increased,yes,longer
1962,chr9:21865975:+,0.67980933,0.69637156,Increased,yes,longer
1966,chr22:20111874:-,0.07202499,0.07661636,Increased,yes,longer
1975,chr22:20891211:+,0.29291534,0.31799302,Increased,yes,longer
1981,chr22:24178628:+,0.24894355,0.257677,Increased,yes,longer
1990,chr22:21697906:+,0.04361387,0.14692661,Increased,yes,longer
1991,chr22:21759659:-,0.07122815,0.13285479,Increased,yes,longer
1994,chr22:19130279:-,0.12085397,0.13558023,Increased,yes,longer
1998,chr22:25729293:+,0.78107786,0.8150936,Increased,yes,longer
2000,chr22:37656116:+,0.3512338,0.5171805,Increased,yes,longer
2002,chr22:26383595:+,0.80425996,0.84093773,Increased,yes,longer
2005,chr22:26494656:+,0.036942646,0.12929446,Increased,yes,longer
2006,chr22:31325809:-,0.30296326,0.3399006,Increased,yes,longer
2010,chr22:37774509:+,0.05937699,0.0824342,Increased,yes,longer
2011,chr22:37830855:-,0.689952,0.69306207,Increased,yes,longer
2013,chr22:41673933:-,0.48910487,0.49855527,Increased,yes,longer
2016,chr22:37969311:+,0.4561629,0.4622139,Increased,yes,longer
2018,chr22:42160012:-,0.040472314,0.9872645,Increased,yes,longer
2020,chr22:28794560:-,0.30108523,0.31371793,Increased,yes,longer
2023,chr22:38685621:-,0.7173447,0.7990089,Increased,yes,longer
2037,chr22:29327681:-,0.23636387,0.43317002,Increased,yes,longer
2041,chr22:35738736:-,0.60265005,0.6097479,Increased,yes,longer
2051,chr22:30030866:+,0.6294681,0.6565958,Increased,yes,longer
2076,chr22:41360103:+,0.25094175,0.4845057,Increased,yes,longer
2080,chr22:41598029:-,0.48029447,0.49741003,Increased,yes,longer
2089,chr14:24441339:+,0.39775372,0.42133585,Increased,yes,longer
2091,chr14:45115599:-,0.4390646,0.5413691,Increased,yes,longer
2094,chr14:22893206:-,0.056396566,0.11083112,Increased,yes,longer
2120,chr14:53036756:-,0.543724,0.57330763,Increased,yes,longer
2124,chr14:54423560:-,0.7244498,0.73308295,Increased,yes,longer
2138,chr14:58408649:-,0.30348057,0.35047176,Increased,yes,longer
2151,chr14:92936913:-,0.23458055,0.37557054,Increased,yes,longer
2157,chr14:60293662:+,0.29290572,0.32382312,Increased,yes,longer
2161,chr14:69715142:+,0.49429068,0.5335722,Increased,yes,longer
2163,chr14:69772004:+,0.71079487,0.7160536,Increased,yes,longer
2167,chr14:103345022:+,0.44387728,0.51214874,Increased,yes,longer
2174,chr14:64463454:+,0.5942576,0.6185935,Increased,yes,longer
2178,chr14:71115381:+,0.23830852,0.47843122,Increased,yes,longer
2186,chr14:90275428:+,0.48365882,0.51243293,Increased,yes,longer
2192,chr14:23016542:-,0.76374555,0.7866801,Increased,yes,longer
2196,chr14:100282788:+,0.7542138,0.7577144,Increased,yes,longer
2199,chr14:91965995:-,0.7314704,0.75957537,Increased,yes,longer
2209,chr14:102342616:-,0.31792855,0.4739491,Increased,yes,longer
2216,chr14:24125240:+,0.6322043,0.6981174,Increased,yes,longer
2218,chr14:35871961:+,0.86010355,0.87112606,Increased,yes,longer
2245,chr20:56404253:+,0.48264933,0.48697728,Increased,yes,longer
2248,chr20:57379201:+,0.59970206,0.7016014,Increased,yes,longer
2250,chr20:63935285:+,0.0838251,0.09684961,Increased,yes,longer
2252,chr20:59033146:-,0.579056,0.7664007,Increased,yes,longer
2255,chr20:62203566:+,0.0478385,0.05536411,Increased,yes,longer
2261,chr20:62800591:+,0.27397898,0.2909687,Increased,yes,longer
2262,chr20:62841115:-,0.2778813,0.29877865,Increased,yes,longer
2267,chr20:62887216:-,0.52968186,0.5491345,Increased,yes,longer
2273,chr20:3927309:-,0.62756354,0.6978451,Increased,yes,longer
2281,chr20:474505:-,0.32974964,0.34912306,Increased,yes,longer
2289,chr20:18561121:+,0.16282925,0.29298297,Increased,yes,longer
2297,chr20:32238657:+,0.3673289,0.5802062,Increased,yes,longer
2298,chr20:9537389:-,0.5548494,0.585546,Increased,yes,longer
2301,chr20:32850404:+,0.7308638,0.7560787,Increased,yes,longer
2304,chr20:33702756:-,0.61008054,0.67929256,Increased,yes,longer
2307,chr20:33854363:+,0.44084322,0.45284897,Increased,yes,longer
2322,chr18:214627:+,0.7208858,0.8216998,Increased,yes,longer
2326,chr18:9960020:+,0.6553394,0.7238378,Increased,yes,longer
2328,chr18:2805011:+,0.44338545,0.4549656,Increased,yes,longer
2332,chr18:3256235:+,0.58349794,0.66090477,Increased,yes,longer
2336,chr18:9285984:+,0.647654,0.6638901,Increased,yes,longer
2345,chrX:119920672:-,0.3797981,0.42798758,Increased,yes,longer
