V1,PAS_ID,original_PAS_pred_narrow,original_PAS_pred,usage,sig
87,chrX:11767977:+,0.659665,0.6881384,Decreased,yes
90,chr16:3725066:-,0.19422163,0.22676389,Increased,yes
94,chr2:75664435:-,0.34396383,0.34866992,Decreased,yes
95,chr7:105102648:+,0.2260073,0.30183798,Increased,yes
99,chr6:82169988:-,0.13390696,0.1796906,Increased,yes
102,chr11:3351786:-,0.2427203,0.6384574,Increased,yes
105,chr13:77039376:-,0.8251241,0.83702695,Increased,yes
109,chr13:77005260:-,0.4861032,0.53256744,Increased,yes
113,chr17:50106255:+,0.31956044,0.35684097,Increased,yes
116,chrX:24214507:+,0.2775646,0.34397936,Decreased,yes
118,chrX:120426148:-,0.58216375,0.74238557,Increased,yes
121,chr16:19501703:-,0.2017936,0.2973738,Increased,yes
123,chr17:35724085:+,0.16826133,0.35468578,Decreased,yes
125,chr16:3291456:+,0.56562227,0.57579935,Increased,yes
128,chr14:70729659:-,0.19553585,0.21224365,Decreased,yes
129,chr7:98291650:-,0.53639704,0.5399019,Decreased,yes
132,chr7:140084856:-,0.2118763,0.40557587,Increased,yes
135,chr7:13900369:-,0.8301107,0.84456104,Decreased,yes
136,chr7:141653898:+,0.32636264,0.42626908,Decreased,yes
142,chr7:77957223:+,0.717139,0.7529705,Decreased,yes
146,chr2:241494840:+,0.42484638,0.44153082,Decreased,yes
148,chr7:38723983:-,0.56656235,0.687192,Increased,yes
151,chr17:12992392:-,0.23441516,0.24000947,Decreased,yes
152,chrX:7898246:-,0.124880314,0.15464191,Increased,yes
155,chr17:2681907:+,0.20196952,0.29497534,Decreased,yes
158,chr1:112523516:-,0.45336512,0.4920113,Increased,yes
164,chr16:189102:-,0.015706964,0.08495545,Increased,yes
166,chr3:50362801:-,0.17355546,0.28065577,Increased,yes
169,chr1:6635115:-,0.11282103,0.11582662,Decreased,yes
172,chr6:15522021:+,0.66005605,0.6748693,Increased,yes
176,chrX:18640185:+,0.37969932,0.40898386,Increased,yes
178,chr7:88202887:+,0.7502727,0.7540801,Increased,yes
179,chr17:50962175:-,0.5639149,0.57434356,Increased,yes
181,chr7:122070604:-,0.5224235,0.54575264,Increased,yes
184,chr22:50613974:+,0.3799335,0.40722337,Increased,yes
189,chr3:169996462:+,0.30239573,0.3473227,Increased,yes
192,chr8:56067254:-,0.7817728,0.79331505,Increased,yes
194,chr1:114716916:-,0.7206058,0.7298999,Decreased,yes
197,chr7:157269116:+,0.4490087,0.58519405,Increased,yes
199,chr14:77274958:-,0.6945005,0.6981904,Increased,yes
201,chr6:142219592:+,0.35229626,0.3819964,Decreased,yes
206,chr7:73440403:-,0.41035047,0.6690299,Decreased,yes
209,chr6:13621619:-,0.2171386,0.5377357,Decreased,yes
212,chr1:231355032:+,0.28585383,0.3562823,Increased,yes
214,chr1:171797712:+,0.49393517,0.50555134,Increased,yes
215,chr12:4585786:+,0.15563759,0.22991596,Increased,yes
223,chr17:32381884:+,0.68347526,0.8028544,Increased,yes
225,chr7:38230668:+,0.56655526,0.5848937,Increased,yes
229,chr3:52423640:+,0.8454472,0.8554606,Increased,yes
231,chr16:3223232:-,0.10237907,0.21618426,Decreased,yes
232,chr6:111660334:-,0.36025947,0.36476034,Increased,yes
236,chr1:23762058:+,0.50351554,0.549472,Increased,yes
238,chr14:93281609:-,0.20276289,0.33138466,Increased,yes
241,chr19:3757896:-,0.5690676,0.7037783,Increased,yes
242,chr17:58205441:-,0.1206438,0.124132305,Decreased,yes
248,chr3:43722724:+,0.52803165,0.5558997,Increased,yes
252,chr17:51297929:+,0.36992064,0.39447442,Decreased,yes
253,chr7:5620048:-,0.16101581,0.18833932,Increased,yes
255,chr17:16028782:+,0.0029695807,0.9962031,Decreased,yes
257,chr19:812221:+,0.083709255,0.21781892,Decreased,yes
259,chr11:61513717:-,0.08331879,0.092316695,Increased,yes
261,chr9:123104801:+,0.3698741,0.58133364,Decreased,yes
264,chr19:46392900:+,0.06017117,0.09370177,Increased,yes
268,chr2:65087003:+,0.8625843,0.87369543,Increased,yes
273,chr19:45476344:-,0.48224825,0.48972875,Increased,yes
275,chr8:28756561:+,0.81089056,0.8310373,Increased,yes
276,chrY:19703866:-,0.4225846,0.48734322,Increased,yes
279,chr14:93229214:+,0.7580407,0.7728658,Increased,yes
282,chr14:50419782:-,0.31544605,0.3542654,Decreased,yes
283,chr2:31268392:+,0.1648904,0.16796395,Increased,yes
286,chr19:39982818:+,0.34031644,0.53284013,Increased,yes
287,chr3:170459584:-,0.27584872,0.42525798,Increased,yes
289,chr7:151361245:+,0.19713639,0.6127182,Decreased,yes
294,chr6:83166132:-,0.5242716,0.5586984,Increased,yes
301,chr6:83198930:+,0.301315,0.322262,Increased,yes
303,chr2:200853082:-,0.36715296,0.5212336,Decreased,yes
304,chr12:106510046:+,0.069127195,0.22572905,Decreased,yes
308,chr5:141990292:+,0.6252132,0.6596998,Decreased,yes
310,chr12:42159034:-,0.2632222,0.3505226,Increased,yes
314,chr22:17735373:-,0.021850267,0.039898038,Decreased,yes
316,chr8:27236303:-,0.075712755,0.09082906,Decreased,yes
318,chr7:44383591:-,0.36114404,0.39071614,Increased,yes
320,chr3:131001776:+,0.49733713,0.5101811,Decreased,yes
328,chr4:70808618:+,0.6053121,0.6467075,Increased,yes
333,chr12:41072223:+,0.2400377,0.30067095,Increased,yes
335,chr2:177542053:+,0.47636402,0.57384324,Increased,yes
338,chr2:32824450:+,0.43616563,0.44347912,Increased,yes
339,chr19:56375848:-,0.6829926,0.70306545,Increased,yes
341,chr11:45214743:+,0.672174,0.6894282,Decreased,yes
345,chr10:124987912:+,0.12021733,0.13860916,Decreased,yes
349,chr20:52151279:-,0.5164669,0.5831298,Increased,yes
351,chr11:3087120:-,0.07879539,0.08200072,Increased,yes
355,chr15:34853787:-,0.27001825,0.36778057,Increased,yes
356,chr8:141207174:-,0.5493647,0.5563543,Increased,yes
359,chr12:120577166:+,0.5611503,0.5688176,Decreased,yes
361,chr14:102342367:+,0.12749708,0.15564533,Decreased,yes
363,chr10:112430301:-,0.42540857,0.44232827,Increased,yes
367,chr2:206114817:-,0.14609863,0.24928395,Increased,yes
370,chr8:52622458:-,0.28986087,0.53622437,Increased,yes
374,chr9:99982490:-,0.15719596,0.5141119,Decreased,yes
375,chr13:42323266:+,0.72630435,0.7327864,Decreased,yes
377,chr1:150159628:+,0.7771959,0.7976874,Decreased,yes
380,chr6:42693504:+,0.4701535,0.5008085,Increased,yes
381,chr6:89361102:-,0.7067198,0.7189572,Increased,yes
387,chr20:35950369:+,0.3056776,0.32716343,Increased,yes
388,chr22:50523471:+,0.12350347,0.13838266,Increased,yes
390,chr20:44942130:-,0.5599556,0.5645485,Increased,yes
392,chr6:107867757:-,0.64866865,0.65341777,Increased,yes
396,chr1:32176563:+,0.75925434,0.7753315,Increased,yes
398,chr6:161130030:-,0.17584616,0.24795163,Increased,yes
400,chr5:177610273:+,0.011579857,0.032326773,Decreased,yes
407,chr12:95305319:+,0.15835561,0.17036809,Increased,yes
409,chr15:64144232:+,0.635065,0.72065496,Increased,yes
413,chr6:133990428:+,0.4229781,0.46988672,Increased,yes
414,chr6:136256868:-,0.370081,0.41775787,Increased,yes
419,chr17:5385809:+,0.42057997,0.43557063,Increased,yes
421,chrX:150990773:+,0.20834619,0.24883272,Increased,yes
425,chr11:47839500:-,0.29204425,0.32990813,Decreased,yes
426,chr5:137936947:-,0.4719873,0.47726786,Increased,yes
431,chr1:109238120:+,0.059549578,0.06877156,Decreased,yes
435,chr14:58373732:+,0.5219235,0.5503821,Increased,yes
437,chr16:5085586:+,0.029721957,0.04928121,Increased,yes
440,chr12:122472900:-,0.25090012,0.3222107,Decreased,yes
441,chr7:151211484:-,0.15291251,0.17332661,Increased,yes
445,chr7:151240971:+,0.41174585,0.42934722,Increased,yes
448,chr1:70144361:+,0.43901995,0.47054535,Decreased,yes
450,chr14:65744119:+,0.44965532,0.5191291,Decreased,yes
454,chr15:68191462:+,0.26104224,0.27961335,Increased,yes
456,chr15:29118311:+,0.30117524,0.31610355,Increased,yes
457,chr2:70295976:-,0.81374747,0.83099115,Increased,yes
460,chr10:74120154:+,0.5556416,0.57033265,Increased,yes
461,chr1:244408494:-,0.74115574,0.76152664,Increased,yes
464,chr17:78853236:-,0.24567105,0.30611187,Decreased,yes
467,chr2:224473909:-,0.23270674,0.6498416,Decreased,yes
468,chr1:77560070:-,0.23263769,0.31431356,Increased,yes
472,chr5:172969719:+,0.39710507,0.7642151,Decreased,yes
474,chr5:6599239:-,0.79673094,0.80479074,Increased,yes
476,chr1:16246841:-,0.79077333,0.80570537,Increased,yes
479,chr5:154055032:+,0.21696818,0.2414671,Decreased,yes
483,chr4:177430777:-,0.36897346,0.3751784,Increased,yes
489,chr4:13625535:-,0.62001866,0.63350606,Decreased,yes
490,chr5:163519149:+,0.4698341,0.52057356,Decreased,yes
495,chr5:14510202:+,0.6759204,0.6947957,Increased,yes
497,chr5:83581805:+,0.395241,0.43112448,Decreased,yes
500,chr16:11182181:+,0.25392118,0.2612419,Increased,yes
502,chr5:55425578:+,0.33236217,0.49629867,Decreased,yes
503,chr5:80478901:+,0.3212576,0.3929505,Decreased,yes
508,chr5:169603102:+,0.95112485,0.9589797,Increased,yes
512,chr8:73535733:-,0.67448044,0.6913864,Increased,yes
518,chr17:7235286:-,0.02989688,0.034338795,Decreased,yes
522,chr2:98594062:+,0.35640988,0.3909966,Increased,yes
524,chr3:194641137:-,0.10210341,0.13203183,Decreased,yes
526,chr1:6635585:+,0.261162,0.3576064,Increased,yes
528,chr14:90044761:+,0.3219638,0.41366252,Increased,yes
530,chr14:88461956:+,0.5330783,0.57709306,Increased,yes
532,chr11:93813413:+,0.13505268,0.15347262,Decreased,yes
538,chr3:182942363:-,0.49334654,0.53130096,Decreased,yes
541,chr5:138935033:+,0.6121193,0.6181428,Increased,yes
542,chrX:18892298:-,0.051479388,0.07031333,Decreased,yes
544,chr9:17301443:+,0.4377029,0.5426942,Decreased,yes
547,chr9:125236239:-,0.47011942,0.49475127,Decreased,yes
549,chrX:14008672:-,0.06977055,0.10600347,Decreased,yes
551,chrX:13769351:+,0.42570326,0.44459894,Increased,yes
553,chrX:13771030:-,0.64851755,0.81390184,Increased,yes
556,chr10:1132154:+,0.30743998,0.3723905,Increased,yes
559,chr8:53715555:-,0.4686442,0.47721773,Increased,yes
562,chr1:186312362:-,0.3954229,0.4455536,Increased,yes
564,chrX:10028020:+,0.8914408,0.8966899,Increased,yes
566,chr3:47850695:-,0.4993461,0.5545592,Increased,yes
569,chr6:117560271:-,0.4808045,0.87228835,Increased,yes
572,chr7:18682598:+,0.592257,0.62098175,Increased,yes
574,chr4:15601546:+,0.5022989,0.5515,Increased,yes
576,chr8:102204624:-,0.20602481,0.63721466,Decreased,yes
580,chr7:127370352:-,0.18316558,0.2436325,Increased,yes
581,chr16:12135736:+,0.5402488,0.5735755,Decreased,yes
585,chr12:16548424:-,0.46069536,0.5745002,Decreased,yes
586,chr6:42206807:-,0.1207323,0.15579875,Increased,yes
588,chr11:77660010:-,0.67149776,0.68753225,Increased,yes
594,chr1:12512043:+,0.50566584,0.545222,Increased,yes
596,chr10:11336515:+,0.61330676,0.66906905,Increased,yes
599,chr12:88494875:-,0.12899984,0.22150578,Decreased,yes
600,chr5:60866458:-,0.69379264,0.7335187,Increased,yes
605,chr7:74231503:-,0.050499424,0.061349954,Decreased,yes
607,chr6:157208055:+,0.19521229,0.26039827,Decreased,yes
611,chr5:1317755:-,0.3873399,0.402993,Increased,yes
616,chr18:58401538:+,0.49040037,0.51695895,Increased,yes
618,chrX:49301460:+,0.6434583,0.65931535,Increased,yes
619,chr5:72359233:+,0.30038083,0.49627548,Decreased,yes
622,chr14:59505346:+,0.43965992,0.623834,Increased,yes
624,chr11:11957321:-,0.51194805,0.565059,Increased,yes
626,chr6:13786738:-,0.5684874,0.58160067,Increased,yes
630,chr12:51515763:+,0.6631744,0.66858023,Increased,yes
633,chr5:180235782:-,0.39918038,0.41795933,Increased,yes
635,chr3:138654075:-,0.056078795,0.38770828,Decreased,yes
637,chr12:19376397:+,0.6202612,0.75575244,Decreased,yes
639,chr4:165343160:+,0.7576552,0.7709302,Increased,yes
641,chr11:43494927:+,0.7596509,0.8062354,Increased,yes
645,chr1:19264101:+,0.37566483,0.40134332,Increased,yes
646,chr3:183176120:-,0.44949025,0.4758157,Increased,yes
651,chr14:57298741:+,0.40458587,0.53509545,Increased,yes
652,chr1:36136573:-,0.8704972,0.8715297,Increased,yes
655,chr1:241593207:-,0.25606558,0.57853794,Increased,yes
657,chr1:243306440:+,0.38768807,0.47169536,Decreased,yes
659,chr22:47174086:+,0.074424766,0.08394822,Decreased,yes
661,chr14:67589534:+,0.34882247,0.5748153,Decreased,yes
663,chr11:73400488:-,0.14929047,0.1601498,Decreased,yes
666,chr11:73397000:+,0.1496489,0.22750634,Decreased,yes
668,chr2:202300369:+,0.029599112,0.19415316,Decreased,yes
671,chr1:16398144:+,0.3186061,0.32571986,Decreased,yes
673,chr7:148801109:+,0.49489385,0.70158637,Increased,yes
674,chr5:153990149:-,0.20567736,0.24766982,Increased,yes
677,chr6:149411515:+,0.6252708,0.7549141,Decreased,yes
681,chr17:78795653:-,0.6760632,0.7038961,Increased,yes
684,chr7:152135156:-,0.21556483,0.27949747,Decreased,yes
688,chr2:20249863:-,0.10826876,0.28419155,Decreased,yes
690,chr10:100981376:-,0.14685196,0.1578101,Increased,yes
693,chr5:32397223:-,0.006023307,0.65107185,Decreased,yes
694,chr9:122844559:-,0.7076672,0.73190063,Increased,yes
696,chrX:2882284:+,0.2853806,0.2941525,Decreased,yes
698,chr3:98795988:-,0.2726581,0.31516674,Increased,yes
701,chr6:106185234:-,0.31780058,0.38421965,Decreased,yes
703,chr3:179784729:+,0.24945268,0.32832417,Increased,yes
706,chr3:182921627:+,0.71748513,0.7814863,Decreased,yes
709,chr12:79773826:-,0.68026924,0.72272354,Decreased,yes
713,chr16:22335095:+,0.27099237,0.3124642,Increased,yes
715,chr1:203744079:+,0.24558638,0.48493582,Increased,yes
716,chr5:97160867:-,0.57397515,0.58783394,Increased,yes
718,chr4:151670652:-,0.21177205,0.27898523,Decreased,yes
721,chr12:96278556:-,0.1920662,0.28788063,Decreased,yes
722,chr12:7919230:-,0.720902,0.727489,Increased,yes
724,chr10:102402618:-,0.19519508,0.20200714,Increased,yes
727,chr18:79756623:+,0.31345323,0.39265382,Increased,yes
728,chr12:911239:+,0.107352585,0.74791074,Decreased,yes
732,chr10:68791493:+,0.08778371,0.75360686,Decreased,yes
735,chr1:31259570:-,0.22923613,0.2690057,Decreased,yes
737,chr12:24810023:-,0.08599305,0.28086543,Increased,yes
739,chr2:182909114:-,0.693038,0.73470855,Increased,yes
742,chr4:155807630:+,0.19304349,0.8174298,Decreased,yes
744,chr12:131799735:+,0.51386356,0.54892737,Increased,yes
746,chr12:62595608:+,0.14057347,0.5200112,Increased,yes
750,chr5:57263583:+,0.26986134,0.400434,Increased,yes
752,chr11:75801534:+,0.20325848,0.22849604,Increased,yes
754,chr19:44336624:-,0.0015553785,0.009767723,Decreased,yes
755,chr10:86435256:-,0.64075404,0.65589154,Increased,yes
759,chr17:59841991:+,0.16039763,0.1706742,Decreased,yes
761,chr17:60445467:-,0.79090315,0.8121145,Decreased,yes
762,chr19:50388356:+,0.14768653,0.23483312,Decreased,yes
767,chr12:53042208:+,0.67645943,0.69038314,Increased,yes
768,chr19:48637948:-,0.08416084,0.37564176,Decreased,yes
772,chr19:39400561:+,0.57644415,0.69924206,Increased,yes
773,chr4:2479682:+,0.3329594,0.341903,Increased,yes
776,chr4:41700042:+,0.6384988,0.764701,Increased,yes
777,chr12:26968944:-,0.7847132,0.79136646,Increased,yes
781,chr17:49519399:+,0.44672507,0.4549088,Increased,yes
782,chr11:125956821:-,0.45368716,0.47311795,Decreased,yes
785,chr8:119788336:-,0.006454676,0.31796992,Decreased,yes
787,chr5:123012705:+,0.25108162,0.48344767,Increased,yes
788,chr1:111767261:+,0.5558582,0.634118,Decreased,yes
794,chr12:29337354:+,0.2810913,0.48725098,Increased,yes
796,chr2:189877511:+,0.024501283,0.13849753,Decreased,yes
801,chr2:187345104:-,0.34648463,0.41251606,Decreased,yes
803,chr19:2101048:-,0.017043771,0.2291211,Decreased,yes
805,chr6:34877512:+,0.1615963,0.36260277,Decreased,yes
808,chr1:109594353:+,0.10651977,0.14639644,Decreased,yes
813,chr13:98024280:+,0.072628304,0.19822372,Increased,yes
818,chr1:117966542:+,0.39984855,0.504848,Increased,yes
819,chr1:88835349:+,0.65098745,0.6737871,Decreased,yes
823,chr19:998438:+,0.27240026,0.27956006,Increased,yes
824,chr6:52497408:-,0.871021,0.88242304,Increased,yes
826,chr2:196986663:-,0.7886951,0.8239446,Increased,yes
828,chr16:75596864:-,0.36088258,0.37804237,Increased,yes
831,chr2:186509358:+,0.7496107,0.77674305,Decreased,yes
832,chr17:12141942:+,0.25717396,0.31853378,Decreased,yes
835,chr1:212364475:-,0.62685645,0.6418527,Increased,yes
839,chr10:104029231:+,0.77611387,0.77844405,Increased,yes
844,chr6:83968861:+,0.22259688,0.3786221,Increased,yes
845,chr10:104272260:+,0.40315875,0.43756655,Increased,yes
850,chr10:12165404:+,0.3463069,0.6566373,Increased,yes
852,chr6:83211577:-,0.2419157,0.5146581,Decreased,yes
855,chr4:38139170:+,0.43819025,0.72728354,Increased,yes
856,chr7:40066881:+,0.83076924,0.8367336,Increased,yes
861,chr2:74217553:+,0.031721644,0.06487845,Increased,yes
862,chrX:46599251:-,0.52866465,0.54597104,Increased,yes
865,chr1:42703803:+,0.46829137,0.49544668,Decreased,yes
868,chr19:7959190:-,0.08934992,0.87765956,Increased,yes
871,chr12:50748656:+,0.26797235,0.30525038,Decreased,yes
872,chr1:43705467:+,0.052167974,0.13587932,Decreased,yes
874,chr1:40771106:+,0.49553037,0.5180459,Decreased,yes
877,chr11:30410226:-,0.310489,0.33562917,Decreased,yes
878,chr14:92058552:-,0.80653006,0.82128924,Increased,yes
881,chr14:92839824:+,0.64853394,0.67424893,Decreased,yes
884,chr1:70144806:-,0.68523246,0.77443486,Decreased,yes
886,chr14:99883777:+,0.35827455,0.41322815,Increased,yes
893,chr14:96284747:-,0.69486874,0.7030106,Decreased,yes
896,chr8:67198363:-,0.30943522,0.34585106,Decreased,yes
897,chr8:65709820:+,0.2483912,0.42852402,Decreased,yes
899,chr18:57544377:-,0.22080094,0.2539974,Increased,yes
905,chr15:71878038:-,0.003638348,0.03635461,Decreased,yes
907,chr10:1040025:-,0.5372873,0.7235567,Increased,yes
908,chr1:92508697:-,0.6256085,0.6328344,Increased,yes
912,chr1:93869465:-,0.14372505,0.20407604,Increased,yes
915,chr15:43403064:-,0.54924107,0.58269286,Increased,yes
920,chr1:218337979:+,0.7787846,0.81692827,Increased,yes
923,chr3:49359612:-,0.5286639,0.56292635,Decreased,yes
924,chr17:43526786:+,0.13885981,0.17348328,Increased,yes
926,chr1:2186980:+,0.075548016,0.08723189,Increased,yes
928,chr1:220149081:+,0.37524867,0.39413628,Decreased,yes
933,chrX:153582929:+,0.15656702,0.2793478,Increased,yes
936,chr18:20949927:-,0.29212135,0.5796859,Decreased,yes
940,chr16:67101053:+,0.81967825,0.8565164,Increased,yes
942,chrX:24550465:+,0.5759004,0.6040481,Increased,yes
943,chr2:239048173:-,0.22196661,0.24234955,Increased,yes
947,chr17:60043194:-,0.34646973,0.38107604,Decreased,yes
949,chr15:99716399:+,0.13847537,0.22360435,Increased,yes
952,chrX:48922210:-,0.19338526,0.19804713,Decreased,yes
953,chr10:132672637:+,0.30951312,0.37516868,Increased,yes
956,chrX:49113408:-,0.083818376,0.11673954,Decreased,yes
958,chrX:48486348:+,0.029029889,0.3789997,Increased,yes
961,chr2:86214597:-,0.0857618,0.16592366,Decreased,yes
964,chr13:112886821:+,0.19211788,0.3014446,Decreased,yes
968,chr2:86020891:-,0.053821456,0.077619836,Decreased,yes
972,chr2:46920240:+,0.34703118,0.37605506,Decreased,yes
976,chr3:48693452:-,0.8093739,0.86196494,Decreased,yes
977,chr2:45388681:-,0.25166774,0.27404764,Increased,yes
982,chr5:62391023:+,0.6813884,0.6985555,Increased,yes
984,chr11:64731479:-,0.33334476,0.3568498,Increased,yes
986,chr2:53864070:-,0.57594365,0.57888937,Increased,yes
988,chr3:160256987:-,0.34182683,0.7732441,Increased,yes
991,chr1:229441740:-,0.08483424,0.16383651,Decreased,yes
994,chr1:205714124:-,0.4887246,0.52221346,Increased,yes
997,chr16:46657994:-,0.4806251,0.50646585,Increased,yes
1000,chr16:46955362:-,0.90036726,0.9148824,Increased,yes
1002,chrX:44523639:-,0.3790374,0.45295802,Increased,yes
1004,chr15:60488285:-,0.8620198,0.8952258,Increased,yes
1008,chr3:141926514:+,0.2711697,0.3518558,Decreased,yes
1010,chr15:52066143:+,0.5853126,0.6282564,Decreased,yes
1013,chr15:52115105:-,0.35198388,0.37210083,Increased,yes
1015,chr15:55202968:-,0.66039985,0.69257253,Increased,yes
1019,chr22:19450621:-,0.2065377,0.22547098,Decreased,yes
1020,chr11:612057:+,0.012517977,0.031225564,Decreased,yes
1022,chr9:108867520:-,0.056902573,0.13579307,Increased,yes
1027,chr11:17349962:+,0.22725606,0.31659707,Increased,yes
1029,chr9:109378237:-,0.3720422,0.42507684,Decreased,yes
1030,chr14:64746283:-,0.46081915,0.46422896,Increased,yes
1033,chr9:105397344:+,0.7648249,0.7933235,Increased,yes
1039,chr14:57206799:-,0.16170149,0.86484694,Increased,yes
1040,chr19:647527:-,0.3517149,0.36971718,Increased,yes
1046,chr3:126458902:-,0.24203672,0.25502035,Increased,yes
1048,chr17:76712836:-,0.8371178,0.8440753,Increased,yes
1050,chr17:68421281:-,0.5495945,0.57041967,Increased,yes
1052,chr16:57881080:-,0.65447533,0.6800741,Increased,yes
1054,chr8:100694581:-,0.76770717,0.7815031,Increased,yes
1059,chr16:58159873:-,0.31322142,0.50252235,Decreased,yes
1060,chr14:88465778:-,0.57533854,0.59050304,Increased,yes
1064,chr5:150400492:+,0.002383559,0.03608205,Increased,yes
1066,chr1:22607161:+,0.20669733,0.23672922,Increased,yes
1068,chr3:8879876:-,0.1312731,0.15944186,Decreased,yes
1071,chr2:101894689:+,0.76329035,0.7666127,Increased,yes
1073,chr2:98619151:-,0.3485562,0.58580226,Decreased,yes
1075,chr4:10068090:-,0.6717365,0.8090057,Increased,yes
1078,chr7:17790761:-,0.87297696,0.89110625,Increased,yes
1081,chr6:166409821:-,0.12721059,0.17210814,Increased,yes
1082,chr7:120975656:+,0.62564856,0.69593614,Decreased,yes
1085,chr14:76783013:+,0.11416918,0.1431934,Increased,yes
1088,chr19:1435681:+,0.497118,0.5097693,Increased,yes
1089,chr19:1573595:-,0.3523925,0.38663578,Increased,yes
1095,chr6:170581747:-,0.7181529,0.7230785,Decreased,yes
1097,chr12:84859719:-,0.36269325,0.38274187,Decreased,yes
1100,chr14:67676813:-,0.20572694,0.6535047,Decreased,yes
1102,chr14:68874128:-,0.21621437,0.26706064,Increased,yes
1104,chr17:19335473:+,0.04623093,0.07094211,Increased,yes
1107,chr2:219493628:+,0.18417647,0.19144048,Increased,yes
1109,chr17:19677411:+,0.07259729,0.14406979,Decreased,yes
1112,chr3:196049332:-,0.042609505,0.7167068,Decreased,yes
1114,chr5:132875518:-,0.1540219,0.19195497,Decreased,yes
1115,chr10:58369595:+,0.60851574,0.7013694,Decreased,yes
1118,chr10:60870801:-,0.15353599,0.21045639,Decreased,yes
1120,chrX:53379697:-,0.2262991,0.25085652,Increased,yes
1123,chr5:132192612:-,0.39785683,0.53565896,Decreased,yes
1125,chr16:68229258:+,0.20938918,0.22481233,Decreased,yes
1128,chr3:3153434:+,0.760394,0.78186166,Increased,yes
1129,chr5:172042079:-,0.6028671,0.6127649,Increased,yes
1131,chr5:171861550:-,0.3124746,0.4372493,Decreased,yes
1134,chr17:5471259:-,0.61101156,0.658024,Increased,yes
1136,chr19:44660507:+,0.23532772,0.25942278,Decreased,yes
1140,chr22:50180294:+,0.13006349,0.1362693,Increased,yes
1145,chrX:10237649:+,0.16347735,0.2230539,Increased,yes
1146,chr17:35128752:-,0.3725754,0.41391137,Increased,yes
1150,chr12:280889:-,0.48333615,0.5240364,Increased,yes
1153,chr14:52857274:-,0.7181952,0.7750274,Increased,yes
1156,chr3:185643739:-,0.0013840083,0.99813265,Decreased,yes
1158,chr3:185484950:+,0.002995119,0.027851395,Increased,yes
1164,chr13:32299124:+,0.52924794,0.610416,Increased,yes
1168,chr11:85957687:-,0.6710553,0.7471963,Decreased,yes
1169,chr4:6320585:-,0.77123046,0.80475265,Increased,yes
1172,chr11:86278808:+,0.24645367,0.8678849,Increased,yes
1173,chr17:3802158:-,0.4914153,0.5114007,Increased,yes
1179,chr18:58986483:+,0.7288724,0.7917814,Increased,yes
1180,chr17:4001936:-,0.53604734,0.60529065,Increased,yes
1184,chr6:112070778:-,0.40356636,0.5876652,Increased,yes
1187,chr12:108250118:+,0.09640298,0.11198563,Decreased,yes
1188,chr7:88205115:-,0.7043975,0.72102344,Increased,yes
1190,chr1:20806886:-,0.39178172,0.42429775,Increased,yes
1194,chr7:83958343:-,0.4797731,0.5156081,Increased,yes
1197,chr11:108147591:+,0.30681038,0.38328177,Increased,yes
1199,chr22:46682752:+,0.16378471,0.21450014,Decreased,yes
1202,chr2:71436378:+,0.5492959,0.5541769,Increased,yes
1204,chr7:87834500:-,0.76708823,0.8134986,Decreased,yes
1207,chr18:74160530:+,0.09062292,0.12471598,Decreased,yes
